Contig	X3	M5	M1	X5	C1	X4	M3	X6	H4	C3	M2	H6	H1	C4	H5	X2	H2	C2	M6	C6	H3	X1	C5	M4
H2_18310	0	0	0	0	0	0	0	0	1	1	0	5	270	0	282	0	351	0	0	3	33	0	0	0
H2_18318	0	0	0	0	0	0	0	0	14	0	0	31	1	0	0	0	62	10	0	1	0	0	3	0
H2_18320	0	32	55	14	0	4	49	0	192	0	46	10	0	118	0	0	275	0	45	2	29	10	80	74
H2_18333	0	5	13	3	44	1	8	0	47	62	2	40	214	16	2	5	6269	68	8	34	31	2	4	35
H2_18343	0	4	9	6	33	36	2	0	195	0	8	97	178	2	37	10	2863	9	22	0	579	17	88	26
H2_18366	0	6	6	4	46	0	2	0	12	21	0	0	33	0	0	0	116	22	0	2	22	0	37	0
H2_18376	0	18	15	36	17	89	17	12	6	25	32	0	57	0	0	4	230	62	26	18	14	65	54	17
H2_18401	4	32	52	15	25	127	107	0	177	82	42	2	168	44	145	14	438	11	42	26	613	34	24	29
H2_18423	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	87	0	0	0	45	0	0	0
H2_18492	0	0	0	0	0	0	0	0	0	0	0	0	25	2	2	0	27	9	0	0	2	0	0	0
H2_18587	0	69	479	69	799	151	141	10	184	839	93	81	833	62	47	383	1076	117	168	38	525	29	665	183
H2_18619	0	0	0	0	0	0	0	0	1	6	2	25	20	0	2	0	66	1	0	0	0	6	10	0
H2_18636	0	2	14	8	24	36	11	8	65	16	10	0	88	38	13	12	82	58	6	6	10	20	193	0
H2_18665	0	0	0	8	2	0	0	0	0	5	0	0	7	0	0	0	145	0	0	0	0	0	1	0
H2_18797	0	0	0	0	6	1	0	0	1	154	2	0	31	13	4	0	729	15	3	2	0	3	0	1
H2_18892	0	23	40	4	201	20	5	0	133	105	3	8	185	47	125	9	247	142	110	50	122	4	216	24
H2_1891	0	0	0	0	0	0	0	0	0	6	0	3	20	2	0	0	281	0	0	45	2	0	36	0
H2_18970	0	0	4	0	0	0	0	0	7	0	0	0	15	0	0	0	66	0	0	0	23	0	0	0
H2_18978	0	20	6	0	48	2	6	0	35	9	4	0	45	2	38	2	150	17	70	2	58	2	18	2
H2_18983	0	12	2	2	6	8	0	0	71	120	0	0	38	2	43	10	127	43	0	0	13	2	12	0
H2_19002	0	0	19	12	0	7	0	0	0	28	0	0	36	0	27	16	1093	14	0	0	12	9	0	0
H2_19054	0	0	0	1	0	0	0	0	0	0	0	0	223	0	0	1	130	0	2	0	4	0	22	0
H2_19080	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	48	0	0	0	2	0	0	0
H2_19222	0	0	0	0	0	0	0	0	97	10	0	1	13	0	20	0	87	2	0	3	1608	0	9	0
H2_19234	1	78	37	8	78	41	14	23	34	43	38	3	85	15	80	22	125	90	87	18	4	71	16	48
H2_19276	0	0	0	0	1	0	0	0	0	2	0	4	22	0	29	0	69	2	0	2	0	0	4	0
H2_19370	0	0	0	0	0	0	0	0	12	0	0	16	0	0	10	0	31	0	0	0	19	0	0	0
H2_19393	0	0	4	2	2	0	0	0	0	1	0	0	3	0	0	22	61	0	0	0	10	5	0	0
