ID	Marmota himalayana	Marmota sibirica	Marmota caudata	Marmota baibacina
C1_10046	1	0	600	4
C1_10104	9	9	563	66
C1_10141	5596	8268	8665	11239
C1_10168	221	222	4469	1653
C1_10176	0	0	291	0
C1_10189	50	63	564	403
C1_10195	229	121	1575	179
C1_10226	4	5	87	3
C1_10235	0	0	183	16
C1_10237	36	520	6068	359
C1_10273	0	0	8035	0
C1_10301	1718	1535	4292	2828
C1_10319	2	0	358	27
C1_10338	52	48	1447	6
C1_10339	0	0	164	1
C1_10369	432	662	145	119
C1_10382	0	0	149	1
C1_10447	1028	1165	5751	3490
C1_10470	47	18	158	2
C1_10473	21	0	263	0
C1_10568	99	110	1447	880
C1_10587	0	0	402	0
C1_10596	0	1	84	0
C1_10636	11	0	463	0
C1_10671	0	4	87	0
C1_10718	20	23	78	3
C1_10875	96	53	4601	24
C1_10908	0	1	3934	53
C1_10912	2	7	50620	6520
C1_11015	0	1	168	141
C1_11034	14	38	195	29
C1_11175	29	5	830	93
C1_11254	3	12	581	2
C1_11306	0	0	4625	0
C1_11339	2	3	86	17
C1_11395	2	0	324	71
C1_11439	0	0	708	139
C1_11441	0	0	88	0
C1_11474	4	7	244	82
C1_11482	8	0	191	22
C1_11490	22	63	166	13
C1_11631	0	0	4400	6
C1_11639	81	123	20622	2198
C1_11678	577	1324	12506	6217
C1_11701	106	57	281	145
C1_11764	3	4	515	87
C1_11791	32	39	2313	3058
C1_11801	0	1	598	14
C1_11876	14	104	3132	2471
C1_11969	18	61	2858	2
C1_12123	14	0	387	37
C1_12133	0	4	140	31
C1_12207	50	20	2558	223
C1_12212	0	0	919	736
C1_12228	0	2	818	0
C1_12291	0	0	50	3
C1_12321	27	189	27239	1395
C1_12324	16	4	1503	177
C1_12351	5	0	96	2
C1_12385	7	2	1125	375
C1_12438	755	2096	9828	2673
C1_12569	18	47	2002	33
C1_12634	61	2	104	24
C1_12695	4	0	62	1
C1_12728	11	93	5135	834
C1_12767	166	840	2877	2053
C1_12784	0	11	19299	604
C1_12838	0	0	183	0
C1_13018	15	0	103	22
C1_13041	39	4	249	5
C1_13098	0	0	85	4
C1_13233	0	11	9796	20
C1_13246	521	358	631	15
C1_13447	21	70	249	50
C1_13456	597	166	921	122
C1_13507	0	0	190	0
C1_13527	0	17	303	12
C1_13633	30	24	273	148
C1_13680	0	0	136	0
C1_13720	0	0	251	156
C1_13737	0	9	11147	318
C1_13742	80	198	583	297
C1_13769	128	91	174	3
C1_13827	0	0	260	0
C1_14233	381	517	2917	200
C1_14285	50	74	409	593
C1_14357	3	1	55	0
C1_14407	57	36	816	663
C1_14422	313	49	1195	751
C1_14433	0	0	129	0
C1_14478	111	20	176	19
C1_14578	1	2	120	3
C1_14585	0	0	382	18
C1_14598	0	0	300	2
C1_14660	401	245	3767	5161
C1_14679	0	0	98	0
C1_14712	0	0	664	160
C1_14736	393	192	1720	107
C1_14787	0	0	73	0
C1_14796	2	5	475	138
C1_14817	4087	1178	19363	5336
C1_14936	16	2	344	15
C1_14982	24	9	172	31
C1_15034	177	81	867	159
C1_15043	188	638	1811	1400
C1_15104	0	50	690	161
C1_15146	0	0	565	6
C1_15198	322	405	683	77
C1_15208	0	0	133	0
C1_15214	2	0	140	10
C1_15229	340	70	2017	57
C1_15230	12	3	125	0
C1_15239	0	0	201	0
C1_15252	0	148	4202	232
C1_15310	2	0	67	1
C1_15312	1299	1973	942	3468
C1_15332	1	0	301	0
C1_15340	95	193	1165	397
C1_15379	495	1071	1364	1735
C1_15390	699	432	982	106
C1_15396	2	0	178	2
C1_15421	3	14	3229	343
C1_15479	296	0	771	352
C1_15661	82	91	1848	715
C1_15678	12	27	5050	22
C1_15739	0	0	96	0
C1_15741	34	2	626	74
C1_15747	20	38	531	44
C1_15749	0	0	145	0
C1_15767	8	9	229	100
C1_15779	403	326	2732	1697
C1_15823	145	76	275	68
C1_15908	1102	3861	221096	45932
C1_15910	45	4	452	42
C1_16094	0	0	142	0
C1_16098	328	671	2546	2367
C1_16143	0	0	609	95
C1_16159	2	30	78	26
C1_16174	14	1	235	0
C1_16188	0	9	300	0
C1_16197	3	0	106	7
C1_16201	11	30	515	19
C1_16204	0	0	107	0
C1_16373	2	9	175	63
C1_16379	21	23	512	184
C1_16465	503	954	6659	463
C1_16478	221	192	3749	9
C1_16536	0	14	95	8
C1_16590	1	0	216	0
C1_16621	50	578	916	28
C1_16662	0	0	232	1
C1_16683	0	11	260	102
C1_16700	0	0	231	7
C1_16703	1	1	2639	146
C1_16713	0	2	191	0
C1_16737	311	19	1636	6
C1_16801	0	0	82	0
C1_16906	0	0	316	0
C1_16946	43	87	201	23
C1_16971	2	5	1041	247
C1_17011	14	0	458	53
C1_17022	24	13	152	328
C1_17046	0	0	172	3
C1_17097	78	60	124	26
C1_17120	0	1	218	70
C1_17177	9	5	168	56
C1_17256	0	8	4653	12
C1_17279	302	6141	10248	263
C1_17342	2	0	677	496
C1_17365	0	0	112	1
C1_17428	0	2	163	0
C1_17521	0	2	11058	331
C1_17553	3	1	159	0
C1_17554	10	19	53	2
C1_17573	36	8	119	0
C1_17626	0	0	277	0
C1_17704	0	0	143	190
C1_17782	0	0	312	11
C1_17787	8	0	201	31
C1_17855	23	23	256	12
C1_17915	1	4	1882	518
C1_17974	44	58	6814	80
C1_17982	16	77	5608	347
C1_18008	178	198	2165	217
C1_18014	14	23	420	91
C1_18090	0	0	9472	3
C1_18096	9	0	126	1
C1_18101	72	130	1261	124
C1_18109	156	80	22460	96
C1_18121	62	1061	521	396
C1_18138	0	10	47	0
C1_18159	4	1	573	2
C1_18241	150	104	255	20
C1_18300	20	48	231	15
C1_18310	72	22	131	6
C1_18317	3	4	74	0
C1_18341	9	12	914	56
C1_18349	160	0	1283	929
C1_18405	20	38	404	48
C1_18419	0	0	377	0
C1_18515	210	517	2529	1796
C1_18599	0	0	172	0
C1_18634	24	34	440	54
C1_18644	153	89	1226	85
C1_18654	0	0	59	36
C1_18664	1	7	631	8
C1_18716	15	2	156	6
C1_18798	0	0	738	1
C1_18822	10	3	66	3
C1_18878	291	259	3043	369
C1_18885	6	16	444	47
C1_18904	334	823	284	242
C1_18950	15	0	1074	120
C1_19032	19	19	289	118
C1_19049	31	54	238	18
