ID	Marmota himalayana	Marmota sibirica	Marmota caudata	Marmota baibacina
C3_52360	1	5	11648	34
C3_52364	20	4	277	22
C3_52379	0	0	161	0
C3_52383	3	0	75	0
C3_52437	0	0	117	0
C3_52543	0	14	81	52
C3_52558	0	0	189	21
C3_52569	27	14	433	205
C3_52572	2	4	77	7
C3_52607	0	0	132	0
C3_52616	1	56	2348	566
C3_52641	2	122	104	21
C3_52700	0	8	327	4
C3_52778	0	29	160	7
C3_52796	0	0	302	110
C3_52814	11	0	115	75
C3_52831	0	0	62	0
C3_52834	70	9	1162	83
C3_52929	0	10	132	41
C3_52940	6	44	135	61
C3_52944	0	12	224	109
C3_52957	0	0	180	2
C3_52967	6	0	196	2
C3_52999	0	0	72	0
C3_53033	0	0	100	4
C3_53125	11	2	2900	1139
C3_53133	19	44	456	22
C3_53140	0	0	125	11
C3_53146	0	1	610	47
C3_53181	14	36	446	42
C3_53193	4	14	175	39
C3_53232	0	0	88	0
C3_53252	4	10	229	1
C3_53293	0	0	303	27
C3_53321	0	0	313	0
C3_53359	0	0	4414	7
C3_53383	5	0	541	0
C3_53400	0	0	48	29
C3_53417	0	0	152	15
C3_53435	3	0	242	38
C3_53439	0	42	522	411
C3_53440	27	5	120	30
C3_53484	5	8	449	107
C3_53560	0	0	88	0
C3_53571	61	377	1504	926
C3_53582	0	0	93	6
C3_53588	27	81	558	283
C3_53614	369	520	4995	1953
C3_53649	2	7	177	16
C3_53652	34	53	167	103
C3_53672	0	0	999	338
C3_53685	5	3	313	28
C3_53689	2	23	113	18
C3_53718	0	1	1564	2
C3_53776	51	20	232	51
C3_53783	101	132	462	297
C3_53785	111	82	442	171
C3_53808	34	54	352	7
C3_53815	142	190	246	66
C3_53845	14	12	232	24
C3_53854	12	0	636	0
C3_53862	0	0	97	1
C3_53883	8	0	88	3
C3_53891	230	56	237	69
C3_53895	0	0	266	6
C3_53910	0	3	1291	224
C3_53916	2	17	744	47
C3_53931	3	0	8426	177
C3_53949	90	129	1475	393
C3_53966	13	9	187	12
C3_54070	0	0	89	0
C3_54091	18	0	63	21
C3_54129	0	0	359	0
C3_54156	6	2	1984	42
C3_54157	22	0	626	15
C3_54168	0	0	62	13
C3_54186	2125	1291	3299	1499
C3_54208	34	45	1320	9
C3_54209	0	0	182	0
C3_54222	8	2	72	15
C3_54231	10	1	100	19
C3_54244	9	17	216	7
C3_54250	26	92	286	94
C3_54258	0	0	85	2
C3_54265	70	22	297	35
C3_54321	22	5	89	33
C3_54348	0	0	129	17
C3_54376	7	1	70	0
C3_54419	0	10	640	23
C3_54423	0	0	132	20
C3_54424	2750	838	2121	3956
C3_54447	8	44	202	50
C3_54497	4	4	427	0
C3_54529	0	0	468	16
C3_54544	6	13	44	6
C3_54545	3	0	162	1
C3_54549	4	19	439	76
C3_54551	0	32	656	6340
C3_54585	0	10	88	13
C3_54632	0	0	973	0
C3_54653	0	0	549	19
C3_54663	108	234	1770	94
C3_54669	0	0	185	0
C3_54698	82	61	798	94
C3_54708	0	0	7391	2
C3_54732	9	1	143	1
C3_54745	317	0	1797	19
C3_54746	25	35	173	21
C3_54773	28	74	167	82
C3_54781	248	398	4643	979
C3_54792	1423	35	9633	27
C3_54812	7	6	260	17
C3_54814	0	0	105	9
C3_54815	150	22	654	59
C3_54848	11	0	78	10
C3_54883	14	5	1858	0
C3_54911	1142	701	5996	145
C3_54926	2	1	1475	39
C3_54929	0	0	125	0
C3_54940	616	661	2066	1491
C3_54973	0	0	97	0
C3_54979	46	143	223	148
C3_54993	9	23	65	8
C3_55017	12	1	219	2
C3_55061	2	3	118	4
C3_55071	1	2	167	0
C3_55096	0	0	485	19
C3_55118	0	0	1269	22
C3_55226	1	0	121	16
C3_55229	0	0	131	0
C3_55235	2	21	2638	97
C3_55242	0	2	153	0
C3_55246	37	118	245	37
C3_55272	58	84	757	447
C3_55288	71	30	190	51
C3_55293	0	0	55	0
C3_55345	3	1	111	4
C3_55361	11	29	1919	12
C3_55363	13	6	656	0
C3_55365	7	11	7369	244
C3_55401	0	17	400	9
C3_55448	0	0	294	2
C3_55505	0	0	343	1
C3_55513	0	3	212	44
C3_55526	42	7	611	37
C3_55647	128	130	1625	612
C3_55652	234	634	2831	1093
C3_55681	0	0	194	0
C3_55699	0	0	139	0
C3_55756	0	0	119	0
C3_55805	0	0	95	75
C3_55820	0	5	675	18
C3_55844	0	0	524	6
C3_55847	0	0	190	2
C3_55861	3	0	124	22
C3_55864	8	0	109	0
C3_55938	38	44	72	48
C3_55943	0	0	1659	0
C3_55956	0	0	3977	0
C3_55965	5	35	297	7
C3_56064	52	54	479	47
C3_56071	0	0	90	0
C3_56082	0	1	118	4
C3_56083	0	1	925	73
C3_56084	0	0	478	0
C3_56104	0	0	105	2
C3_56140	0	0	401	0
C3_56151	0	0	372	88
C3_56177	29	76	312	134
C3_56248	0	0	12310	0
C3_56254	87	41	211	307
C3_56262	22	46	438	32
C3_56337	102	44	201	24
C3_56350	33	7	455	33
C3_56369	0	0	73	0
C3_56373	0	4	209	8
C3_56375	45	65	8759	173
C3_56406	0	0	167	9
C3_56408	11	14	441	197
C3_56409	0	2	390	29
C3_56447	2	291	1765	360
C3_56478	0	5	120	0
C3_56479	0	0	3035	59
C3_56511	0	0	121	5
C3_56530	0	0	93	4
C3_56546	0	12	355	46
C3_56561	14	6	212	10
C3_56581	7	0	177	24
C3_56583	0	0	291	2
C3_56593	1	0	131	8
C3_56595	0	0	148	0
C3_56619	8	7	109	71
C3_56620	20	1252	1617	771
C3_56629	0	1	56	0
C3_56634	0	40	77	2
C3_56652	2	8	152	226
C3_56655	0	0	86	0
C3_56673	0	2	778	219
C3_56680	5	3	59	4
C3_56690	18	4	171	15
C3_56746	0	0	133	4
C3_56772	0	0	265	10
C3_56800	0	9	49	8
C3_56808	5	30	38	5
C3_56817	67	102	251	140
C3_56881	6	0	167	69
C3_56910	0	0	90	12
C3_56936	13	2	458	24
C3_56946	0	4	1018	774
C3_56952	0	4	265	0
C3_56978	1	24	31937	162
C3_57000	782	878	1991	2030
C3_57008	56	113	672	418
C3_57038	3	0	2453	2
C3_57055	23	7	182	6
C3_57095	0	1	260	18
C3_57115	0	0	48	0
C3_57118	12	84	35219	49
C3_57119	0	1	294	68
C3_57159	50	69	1150	67
C3_57215	17	4	145	5
C3_57221	89	27	391	24
C3_57226	28	40	2642	364
C3_57230	24	17	114	5
C3_57259	0	21	78	0
C3_57264	28	22	6291	2262
C3_57310	0	0	93	7
C3_57346	0	0	94	13
C3_57410	0	0	89	0
C3_57423	0	2	2208	53
C3_57482	4	8	466	44
C3_57499	20	4	550	125
C3_57554	0	0	3357	11
C3_57574	0	0	70	8
C3_57586	46	61	386	85
C3_57614	0	0	278	0
C3_57618	87	103	262	85
C3_57637	245	127	463	49
C3_57643	383	651	1038	418
C3_57667	0	0	2337	0
C3_57777	13	51	597	178
C3_57785	1	14	1269	318
C3_57789	0	0	63	0
C3_57796	12	124	231	8
C3_57805	0	11	2322	0
C3_57848	24	2508	9301	972
C3_57871	19	79	331	10
C3_57873	55	23	559	4
C3_57911	2	8	210	34
C3_57929	23	12	1389	118
C3_57990	15	50	214	68
C3_57999	0	0	122	86
C3_58033	0	0	87	0
C3_58049	17	14	107	4
C3_58059	20	52	80	5
C3_58071	81	58	700	32
C3_58074	17	47	172	22
C3_58120	3	0	277	22
C3_58146	0	3	214	120
C3_58159	0	2	2115	13
C3_58167	4	22	473	23
C3_58200	11	81	398	16
C3_58201	1	187	875	674
C3_58233	0	2	194	2
C3_58259	358	654	90371	928
C3_58272	8	9	80	0
C3_58290	92	125	348	52
C3_58381	15	14	370	53
C3_58382	0	17	640	486
C3_58384	105	221	228	93
C3_58399	3	27	447	375
C3_58408	12	17	83	0
C3_58444	14	15	235	11
C3_58452	2	76	474	60
C3_58459	0	0	83	12
C3_58495	0	0	129	23
C3_58509	51	0	2591	606
C3_58540	4	2	193	67
C3_58566	0	0	129	12
C3_58587	1	1	668	0
C3_58594	62	50	854	44
C3_58609	26	1	266	32
C3_58617	0	0	1348	225
C3_58633	138	52	6772	54
C3_58645	6	0	79	40
C3_58650	0	0	372	119
C3_58681	11	2	165	9
C3_58723	2	1	6833	160
C3_58746	29	20	1655	423
C3_58749	22	4	103	2
C3_58758	0	0	75	1
C3_58775	0	10	218	4
C3_58823	15	101	486	37
C3_58850	15	113	1164	25
C3_58856	0	0	112	1
C3_58863	6	0	39	0
C3_58867	0	0	110	5
C3_58924	0	11	109	12
C3_58967	0	0	239	261
C3_58996	0	0	88	2
C3_59099	0	0	86	2
C3_59128	1	11	122	30
C3_59150	0	0	361	116
C3_59160	1	0	2418	1
C3_59190	6	0	117	65
C3_59191	0	7	151	0
C3_59194	243	254	4377	1801
C3_59212	76	60	210	28
C3_59224	30	48	510	22
C3_59225	0	178	774	21
C3_59279	35	18	1079	201
C3_59309	0	0	186	5
C3_59388	5	51	220	5
C3_59394	6	10	167	31
C3_59426	0	2	44	2
C3_59446	2	8	40	3
C3_59469	0	22	3146	75
C3_59498	270	349	3155	620
C3_59506	1	4	112	13
C3_59524	0	13	101	12
C3_59526	113	54	223	144
C3_59541	12	9	555	84
C3_59542	48	2	147	44
C3_59558	0	1	113	0
C3_59559	167	51	618	98
C3_59565	0	1	225	8
C3_59587	0	4	196	20
C3_59683	2	0	1947	6
C3_59760	47	24	182	58
C3_59790	0	2	154	2
C3_59803	0	0	39	0
C3_59825	0	0	62	0
C3_59837	27	18	174	26
C3_59925	1	9	1150	104
C3_59932	17	33	456	15
C3_59939	4	2	153	0
C3_59954	0	24	404	355
C3_59971	0	0	1310	31
C3_59976	0	0	657	0
C3_59997	0	0	370	12
C3_59999	9	19	1282	117
C3_60010	10	16	151	8
C3_60027	0	0	113	2
C3_60044	294	0	2475	42
C3_60059	9	34	167	11
C3_60077	24	18	70	11
C3_60088	0	1	275	15
C3_60111	0	0	537	44
C3_60162	56	61	1051	276
C3_60193	7	3	142	10
C3_60207	3	72	490	37
C3_60210	0	0	158	16
C3_60213	0	0	65	0
C3_60247	1	0	14354	46
C3_60315	0	9	10644	2
C3_60327	12	21	160	42
C3_60330	0	0	315	20
C3_60365	6	0	214	26
C3_60405	83	15	285	28
C3_60420	1	29	233	38
C3_60464	2	0	1353	107
C3_60491	0	2	1233	23
C3_60572	0	2	118	23
C3_60588	16	7	191	27
C3_60661	0	0	1122	27
C3_60691	0	1	990	14
C3_60753	17	34	11285	660
C3_60761	0	0	114	3
C3_60770	41	42	769	613
C3_60771	0	4	399	0
C3_60782	1	26	155	8
C3_60787	0	13	393	2
C3_60819	0	0	247	9
C3_60843	1075	472	522	457
C3_60868	2	3	1763	198
C3_60879	28	26	120	46
C3_60888	3	43	191	4
C3_60902	0	0	194	4
C3_60929	14	9	55	0
C3_60940	0	0	117	2
C3_60948	0	0	405	0
C3_60987	0	0	505	4
C3_61003	0	0	2660	137
C3_61008	25	28	115	21
C3_61070	10	0	183	14
C3_61105	6	24	50	0
C3_61140	22	16	186	39
C3_61150	19	4	557	21
C3_61169	0	0	72	3
C3_61196	0	0	167	12
C3_61200	279	290	1283	19
C3_61214	0	0	1082	12
C3_61275	4	0	57	0
C3_61296	17	33	224	123
C3_61326	12	2	1381	12
C3_61369	0	0	214	15
C3_61394	0	3	438	13
C3_61398	0	0	467	48
C3_61416	0	0	137	3
C3_61428	6	4	199	0
C3_61499	3	0	216	0
C3_61557	74	123	777	41
C3_61569	69	50	262	203
C3_61604	34	12	461	68
C3_61634	4	5	645	45
C3_61644	2	0	282	63
C3_61662	19	21	105	74
C3_61690	0	0	659	189
C3_61765	0	7	120	4
C3_61774	0	0	179	27
C3_61796	0	0	76	4
C3_61798	0	8	12128	50
C3_61857	6	30	524	98
C3_61890	39	0	484	13
C3_61937	30	37	192	13
C3_61952	0	0	293	3
C3_62026	0	0	251	0
C3_62037	0	3	80	4
C3_62056	33	7	124	2
C3_62063	0	0	79	5
C3_62096	1	0	514	0
C3_62130	143	6	5337	150
C3_62140	9	5	170	50
C3_62181	0	0	111	9
C3_62194	0	4	53	0
C3_62208	14	6	95	16
C3_62235	0	142	1389	432
C3_62244	4	1	549	1
C3_62255	89	57	1299	478
C3_62262	4	10	234	17
C3_62267	61	52	163	17
C3_62297	25	21	212	29
C3_62301	25	0	377	235
C3_62317	4	15	337	22
C3_62375	0	0	78	0
C3_62415	0	0	157	1
C3_62422	0	0	292	12
C3_62425	5	0	2274	21
C3_62561	0	0	151	8
C3_62571	59	19	530	27
C3_62580	0	0	113	0
C3_62610	0	0	601	78
C3_62615	4	7	311	3
C3_62622	0	0	62	2
C3_62623	1	5	1694	116
C3_62653	0	0	109	0
C3_62655	0	0	681	20
C3_62708	0	0	62	1
C3_62745	0	8	319	40
C3_62774	1	0	366	14
C3_62806	12	3143	1579	348
C3_62826	24	19	148	2
C3_62833	118	48	384	17
C3_62889	21	22	111	6
C3_62894	0	0	350	62
C3_62895	0	3	114	0
C3_62914	0	0	298	0
C3_62932	8	0	72	2
C3_62933	6	20	161	58
C3_62961	0	0	129	4
C3_62971	0	0	97	4
C3_62972	0	0	631	3
C3_63038	18	14	167	14
C3_63040	12	4	61	1
C3_63091	1	14	10420	51
C3_63105	0	0	110	1
C3_63218	0	0	353	11
C3_63245	0	0	91	6
C3_63300	0	4	661	8
C3_63303	61	98	919	83
C3_63339	44	72	270	22
C3_63363	0	0	117	16
C3_63370	47	98	197	17
C3_63380	14	24	1295	335
C3_63407	0	0	136	0
C3_63481	229	166	4590	647
C3_63485	0	0	139	17
C3_63494	159	108	209	261
C3_63556	0	0	1284	1
C3_63567	1	2	57	3
C3_63589	2	3	363	723
C3_63630	1	0	892	167
C3_63635	6	7	2460	22
C3_63649	0	5	8622	256
C3_63664	33	113	1188	93
C3_63685	0	0	488	0
C3_63724	0	0	55	0
C3_63734	0	0	264	0
C3_63736	1128	240	30984	286
C3_63755	0	0	2952	2
C3_63769	4	4	1100	30
C3_63787	11	23	125	16
C3_63813	22	2	88	10
C3_63823	0	0	53	0
C3_63843	0	10	193	127
C3_63877	38	132	498	196
C3_63887	5	26	146	5
C3_63955	19	9	11835	9
C3_63960	21	40	3672	84
C3_63961	11	0	59	8
C3_63964	0	0	87	0
C3_64003	0	0	463	1
C3_64016	70	65	212	67
C3_64046	0	0	199	16
C3_64089	7	19	254	22
C3_64116	3	30	68	12
C3_64121	18	0	860	122
C3_64152	2	11	283	0
C3_64161	126	69	803	255
C3_64165	0	0	344	0
C3_64247	6	29	1450	2
C3_64261	0	24	259	87
C3_64303	1	0	378	30
C3_64310	1	0	1840	0
C3_64330	4	0	102	8
C3_64387	3	11	179	39
C3_64406	0	0	123	2
C3_64457	0	7	58	103
C3_64491	37	50	459	104
C3_64505	0	3	100	0
C3_64507	4	66	1136	607
C3_64533	0	0	88	0
C3_64535	0	0	256	12
C3_64540	18	19	90	2
C3_64548	11	10	141	6
C3_64552	20	12	241	18
C3_64595	580	1330	516	472
C3_64612	0	4	138	0
C3_64643	13	0	86	1
C3_64651	12	23	148	8
C3_64653	1200	3159	5019	3635
C3_64667	18	39	385	50
C3_64730	2	1	6607	73
C3_64778	28	191	1468	65
C3_64812	13	43	571	31
C3_64813	0	0	176	0
C3_64841	37	17	138	47
C3_64842	6	2	94	13
C3_64852	626	1669	2738	1695
C3_64865	24	30	290	12
C3_64881	236	784	3423	148
C3_64904	0	84	17071	61
C3_64921	0	0	96	0
C3_64930	0	4	2330	27
C3_64962	23	23	261	49
C3_64963	0	0	561	0
C3_64966	0	0	56	9
C3_64992	9	3	118	12
C3_65045	0	0	444	25
C3_65070	3	8	129	25
C3_65079	0	0	87	14
C3_65109	50	102	1115	76
C3_65195	28	26	195	63
C3_65228	1	0	349	88
C3_65267	0	22	185	2
C3_65270	2	2	373	106
C3_65277	5	26	153	88
C3_65285	0	0	277	23
C3_65336	0	0	198	1
C3_65381	0	0	93	0
C3_65411	0	0	146	0
C3_65412	46	32	27119	365
C3_65416	4	0	60	0
C3_65427	0	3	108	8
C3_65469	0	4	144	2
C3_65471	0	0	74	0
C3_65473	4	4	398	8
C3_65525	38	2	85	6
C3_65541	62	6	2892	162
C3_65547	822	23	8082	412
C3_65584	0	0	168	0
C3_65592	31	37	639	93
C3_65610	1	0	141	10
C3_65619	2	6	195	118
C3_65637	0	0	67	0
C3_65687	0	0	196	31
C3_65711	0	0	197	78
C3_65738	0	0	229	28
C3_65753	6	13	119	4
C3_65757	0	0	656	8
C3_65845	0	3	341	3
C3_65860	0	0	357	0
C3_65878	0	7	66	11
C3_65895	406	408	4235	1709
C3_65921	1	0	68	4
C3_65927	147	0	235	20
C3_65985	470	65	13884	697
C3_65988	16	24	384	3
C3_66002	1	7	158	6
C3_66011	2118	7429	14379	6587
C3_66031	53	21	5117	233
C3_66048	0	0	912	33
C3_66078	22	20	226	46
C3_66082	2	0	87	6
C3_66085	0	0	199	58
C3_66150	0	0	134	12
C3_66210	425	193	489	285
C3_66213	1	1	72	0
C3_66258	0	4	265	9
C3_66270	0	0	101	0
C3_66314	6	0	464	29
C3_66319	17	7	104	9
C3_66331	2	0	118	10
C3_66333	17	40	392	25
C3_66348	73	7	313	74
C3_66352	0	2	884	2
C3_66379	0	0	196	3
C3_66395	0	0	118	1
C3_66410	0	1	478	0
C3_66419	32	16	442	29
C3_66428	32	4	105	0
C3_66432	157	172	8692	71
C3_66446	0	0	3832	6
C3_66456	39	83	832	206
C3_66476	0	0	102	0
C3_66495	0	0	1478	0
C3_66530	4	8	78	4
C3_66567	2	0	52	0
C3_66584	0	1	1866	39
C3_66597	0	0	202	2
C3_66599	0	0	60	0
C3_66620	1	0	136	9
C3_66621	0	0	38	0
C3_66645	0	0	487	0
C3_66668	128	75	100	18
C3_66706	7	137	1351	43
C3_66709	5	24	484	115
C3_66735	0	0	71	1
C3_66786	0	0	71	0
C3_66793	52	42	171	15
C3_66835	7	4	163	12
C3_66863	0	0	132	0
C3_66903	148	384	2417	636
C3_66913	1	5	248	0
C3_66916	0	1	1400	0
C3_66923	0	0	244	13
C3_66927	0	0	82	0
C3_66948	3	3	1324	26
C3_66973	0	11	117	70
C3_67041	10	14	300	55
C3_67054	5	14	213	7
C3_67058	27	94	603	16
C3_67059	0	0	158	0
C3_67082	91	0	237	0
C3_67083	0	0	140	37
C3_67131	20	10	144	81
C3_67136	0	0	114	34
C3_67142	0	2	304	1
C3_67150	0	9	2754	207
C3_67180	0	0	310	4
C3_67202	4	33	362	4
C3_67257	0	5	132	0
C3_67327	155	47	89	16
C3_67334	3	18	156	6
C3_67352	4	0	105	4
C3_67359	476	1025	1924	869
C3_67383	1	5	55	2
C3_67412	20	32	6357	31
C3_67452	0	2	7326	230
C3_67453	54	31	270	39
C3_67458	0	0	133	17
C3_67459	334	524	212	12
C3_67461	0	0	518	57
C3_67465	0	11	193	170
C3_67468	100	50	265	3
C3_67491	0	0	260	0
C3_67492	4	0	92	0
C3_67494	15	5	98	2
C3_67543	73	48	771	336
C3_67560	19	36	344	60
C3_67592	32	89	154	113
C3_67599	483	32	1108	163
C3_67611	0	0	104	0
C3_67631	0	0	533	4
C3_67642	0	0	132	9
C3_67715	2	0	134	5
C3_67717	78	2	104	18
C3_67754	0	0	2442	0
C3_67760	0	0	1418	5680
C3_67767	0	0	119	47
C3_67780	0	12	144	157
C3_67796	109	205	340	67
C3_67862	0	0	70	4
C3_67880	0	0	284	2
C3_67900	92	4	999	13
C3_67934	12	8	117	2
C3_67963	1	63	7833	662
C3_67996	0	0	158	114
C3_68000	14	28	371	62
C3_68022	2	0	124	5
C3_68034	112	83	1368	76
C3_68065	0	0	50	0
C3_68080	86	22	3458	15
C3_68082	15	30	382	50
C3_68126	0	46	192	19
C3_68137	0	0	159	79
C3_68155	0	0	243	3
C3_68170	0	1	59	30
C3_68180	2	13	66	18
C3_68186	4	0	559	0
C3_68222	0	0	159	11
C3_68257	0	0	1712	137
C3_68260	0	0	2357	5
C3_68286	18	41	418	140
C3_68288	3	15	123	22
C3_68306	23	37	640	53
C3_68313	13	18	86	4
C3_68316	3	6	60	6
C3_68368	0	2	62	2
C3_68369	0	0	463	9
C3_68432	1	1	146	33
C3_68440	0	0	600	0
C3_68444	25	19	474	91
C3_68450	4	0	152	14
C3_68466	0	3	111	2
C3_68519	0	0	582	2
C3_68559	79	60	110	18
C3_68577	23	31	165	39
C3_68583	29	22	165	10
C3_68594	0	0	206	0
C3_68625	0	0	125	2
C3_68718	35	33	128	61
C3_68728	8	9	85	60
C3_68754	0	1	258	22
C3_68769	0	0	1769	2
C3_68796	0	38	1091	275
C3_68860	0	19	471	6
C3_68875	0	0	850	0
C3_68878	32	75	484	400
C3_68885	8	0	1352	15
C3_68898	23	4	497	1
C3_68899	4	0	204	4
C3_68913	0	0	181	1
C3_68950	67	20	2913	242
C3_68960	1	4	164	37
C3_68978	857	290	1964	356
C3_68990	12	0	609	0
C3_69015	26	1	392	85
C3_69028	95	53	182	15
C3_69064	0	0	248	18
C3_69066	0	0	151	3
C3_69078	5	17	554	26
C3_69086	2	28	287	17
C3_69102	0	0	10871	146
C3_69135	0	0	97	5
C3_69144	0	0	1880	14
C3_69155	0	0	1471	0
C3_69165	180	57	852	29
C3_69192	7	3	69	5
C3_69269	0	0	117	10
C3_69282	0	0	1108	0
C3_69301	4	1	126	15
C3_69303	11	2	67	2
C3_69315	0	10	236	26
C3_69379	15	82	853	426
C3_69407	2	2	131	4
C3_69419	28	36	1913	170
C3_69430	1	6	516	193
C3_69457	89	21	573	96
C3_69466	0	1	76	0
C3_69481	955	815	1257	374
C3_69517	13	6	90	52
C3_69534	0	22	97	15
C3_69601	0	1	614	0
C3_69606	0	2	131	8
C3_69617	1	3	147	11
C3_69639	0	3	62	0
C3_69678	0	0	1408	4
C3_69737	0	3	109	0
C3_69759	60	70	698	91
C3_69772	0	0	167	0
C3_69855	0	0	145	6
C3_69856	54	117	1601	162
C3_69888	0	27	116	0
C3_69900	0	2	114	0
C3_69911	0	0	15002	48
C3_69912	0	0	447	73
C3_69934	48	36	137	5
C3_69968	4	17	70	6
C3_69977	3	6	509	62
C3_69979	0	0	3770	0
C3_70055	111	0	153	24
C3_70073	0	0	78	6
C3_70094	0	0	939	0
C3_70110	92	11	80	14
C3_70133	1	2	240	0
C3_70204	0	0	102	6
C3_70231	0	3	376	17
C3_70245	0	8	478825	8
C3_70264	45	6	557	352
C3_70271	2	1094	579	66
C3_70275	2	4	88	53
C3_70292	1	10	221	3
C3_70294	11	23	189	12
C3_70320	0	0	963	53
C3_70367	8	0	291	10
C3_70373	0	9	534	33
C3_70380	0	5	90	3
C3_70390	12	13	189	25
C3_70391	0	0	133	180
C3_70398	0	0	186	0
C3_70403	11	53	611	118
C3_70411	24	47	268	63
C3_70442	0	6	118	24
C3_70457	201	521	9036	818
C3_70469	0	0	82	111
C3_70478	11	1	564	7
C3_70541	0	0	293	8
C3_70572	0	1	189	1
C3_70587	0	1	106	4
C3_70589	0	0	242	1
C3_70592	0	0	1347	0
C3_70612	1	0	593	6
C3_70701	30	57	346	24
C3_70773	0	1	77	1
C3_70803	0	13	21583	71
C3_70816	2	7	355	74
C3_70829	2	3	562	0
C3_70855	2	10	158	7
C3_70894	0	0	110	2
C3_70921	29	57	1017	138
C3_70948	449	8	121299	1649
C3_70953	0	0	303	6
C3_70956	0	0	3535	0
C3_70987	19	10	81	59
C3_71000	1	5	85	25
C3_71034	0	0	720	0
C3_71114	70	17	263	227
C3_71123	0	6	302	12
C3_71311	1132	1252	3944	3103
C3_71323	0	6	98	52
C3_71325	20	37	93	2
C3_71327	78	4	276	1
C3_71337	0	0	217	19
C3_71341	0	0	207	0
C3_71351	8	113	23068	25
C3_71378	0	0	82	0
C3_71390	0	47	151	0
C3_71422	0	0	1051	3
C3_71429	6	6	257	52
C3_71453	0	0	87	20
C3_71455	32	137	1000	810
C3_71462	1	19	1895	646
C3_71490	0	0	418	742
C3_71493	24	21	79	2
C3_71496	97	0	1313	31
C3_71536	2	0	114	4
C3_71571	0	0	402	5
C3_71584	18	35	107	40
C3_71612	5	3	273	1
C3_71616	0	0	250	0
C3_71622	16	21	84	3
C3_71640	3	0	52	0
C3_71671	0	0	362	0
C3_71690	1	2	76	10
C3_71701	86	117	1767	177
C3_71705	0	9	34227	8
C3_71714	5	64	254	628
C3_71728	34	28	166	14
C3_71749	505	311	1318	71
C3_71754	0	1	205	0
C3_71770	9	33	2573	144
C3_71811	21	2	117	0
C3_71869	0	0	715	5
C3_71873	0	0	79	2
C3_71916	0	0	624	53
C3_71919	680	271	1149	570
C3_71941	8	1	3325	72
C3_72008	0	0	100	18
C3_72022	12	2	82	4
C3_72023	8	12	756	11
C3_72026	2	5	126	8
C3_72031	0	3	364	11
C3_72041	3047	241	265	38
C3_72044	0	0	201	32
C3_72059	0	35	1208	132
C3_72068	10	6	351	59
C3_72074	1	0	180	4
C3_72103	5	17	248	1
C3_72187	0	0	175	0
C3_72207	1	0	95	0
C3_72214	3	2	75	3
C3_72254	2	0	308	18
C3_72269	2	0	192	3
C3_72275	0	0	17	0
C3_72299	0	9	126	3
C3_72347	0	0	146	0
C3_72364	10	22	362	56
C3_72386	64	59	3852	2392
C3_72404	23	10	105	4
C3_72438	10	10	52	3
C3_72482	28	19	148	4
C3_72496	63	1	5517	416
C3_72508	14	15	127	10
C3_72543	27	1	127	1
C3_72565	0	0	96	0
C3_72566	0	28	600	58
C3_72580	0	0	254	5
C3_72624	0	1	463	6
C3_72644	74	36	353	69
C3_72676	0	0	100	0
C3_72684	0	0	2548	21
C3_72728	6	19	2892	33
C3_72734	190	46	1011	136
C3_72787	23	27	85	0
C3_72796	0	0	242	0
C3_72797	0	0	55	0
C3_72832	0	0	360	0
C3_72833	6	0	199	1
C3_72850	0	0	1761	48
C3_72854	0	22	172	13
C3_72866	0	2	100	0
C3_72883	0	0	79	0
C3_72893	8	0	76	5
C3_72902	1	12	168	3
C3_72916	0	0	119	31
C3_72931	4	0	122	0
C3_72939	0	0	166	11
C3_72959	97	0	6899	667
C3_73024	0	0	914	0
C3_73027	10	8	314	4
C3_73035	0	0	282	83
C3_73038	0	0	127	88
C3_73048	113	685	4313	1164
C3_73082	0	0	386	26
C3_73101	124	1074	450	217
C3_73112	27	56	285	65
C3_73129	2	11	165	31
C3_73231	0	0	114	7
C3_73278	0	7	119	0
C3_73280	5	9	148	60
C3_73293	35	65	96	1
C3_73334	8	52	241	48
C3_73368	31	3	340	16
C3_73374	0	0	951	16
C3_73386	6	14	79	2
C3_73411	5	0	1186	4
C3_73412	0	12	153	17
C3_73418	0	17	125	143
C3_73425	0	4	114	4
C3_73455	0	0	88	2
C3_73458	37	468	374	21
C3_73493	1	3	715	39
C3_73499	0	0	185	11
C3_73527	34	93	485	519
C3_73531	70	225	1396	80
C3_73536	4	1	89	27
C3_73537	18	34	135	6
C3_73556	0	0	129	6
C3_73567	0	0	228	0
C3_73576	0	0	121	0
C3_73594	0	5	185	78
C3_73632	0	0	43	6
C3_73657	55	59	249	38
C3_73668	0	8	119	32
C3_73682	2	17	75	2
C3_73710	39	31	827	72
C3_73715	0	0	139	50
C3_73771	1	0	28430	239
C3_73785	0	0	892	17
C3_73833	0	13	118	2
C3_73839	209	156	679	43
C3_73854	0	1	164	10
C3_73910	536	206	1440	2317
C3_73931	0	9	190	6
C3_73942	0	0	122	0
C3_73947	224	50	208	317
C3_73978	6	29	210	10
C3_73996	10	34	280	27
C3_73999	0	0	482	392
C3_74003	0	7	67	0
C3_74025	4	11	115	5
C3_74029	0	0	169	4
C3_74030	31	78	163	41
C3_74057	16	31	5128	136
C3_74181	0	0	713	4
C3_74218	26	126	252	39
C3_74219	0	0	137	2
C3_74227	3	2	157	2
C3_74242	0	0	114	0
